name,description
Althea’s Rooftop,"Chic rooftop, upbeat vibe, eclectic music, diverse crowd, breathtaking views."
Ardesia Wine Bar,Over 30 wines by the glass are available along with homemade NY pretzels & hand-crafted cheeses.
Vesuvio Pizzeria & Wine Bar,"Cozy, vibrant, eclectic mix of lounge music, diverse clientele."
Kashkaval Garden,Melted cheese is predominant at this small candlelit wine bar with Mediterranean flavors.
Bocca di Bacco,"Lively, rustic Italian bar, upscale crowd, cozy atmosphere, modern beats."
Sushi Damo,"Classic Japanese cuisine including an extensive sushi menu, served in a modern setting."
The Flame Diner,No-frills diner serving up a vast menu of homey Greek & American fare around the clock.
El Centro,"Lively vibe, Latin music, vibrant atmosphere, diverse, friendly crowd."
Rise Bar,"Modern, brick-lined gay bar for cocktails & entertainment from drag shows to karaoke nights."
D.J. Reynolds,"Longtime watering hole doling out traditional Irish pub grub, beer & more in plush surroundings."
Bareburger,"Cozy, eco-friendly burger joint with indie music, casual vibe, diverse crowd."
Cantina,"vibrant, casual, Latin beats, energetic, diverse crowd, lively ambiance, festive."
Blue Seafood Bar and Eatery,"Airy, spacious seafood joint & wine bar specializing in small plates, oysters, crudo & charcuterie."
Masseria dei Vini,"Restaurant offering dishes from Puglia, including seafood crudo & pastas, plus Italian wines."
All Stars Sports Bar & Grill,Traditional American grill restaurant & sports bar showing all the big games on multiple TVs.
all & sundry,"Lively, eclectic bar with diverse crowd, lively atmosphere, indie music."
Marea,High-end Italian seafood & housemade pastas in a chic Central Park South setting.
Blue Ribbon Sushi Bar & Grill - Columbus Circle,"Chic atmosphere, eclectic vibe, sushi and grill, varied music, diverse clientele."
Jean-Georges,Sophisticated New French eatery boasting floor-to-ceiling windows overlooking Central Park.
Porter House Bar and Grill,Upscale steakhouse in Time Warner Center offering the genre standards with Central Park views.
Dizzy's Club,"Upscale, intimate jazz club in Lincoln Center serving Southern-accented fare & themed cocktails."
Ascent Lounge,"Upscale lounge for cocktails, bites & views from the fourth floor of the Time Warner Center."
