name,website_link,reservation_link
Althea’s Rooftop,http://altheasrooftop.com/,Not found
Ardesia Wine Bar,http://www.ardesia-ny.com/,https://resy.com/cities/ny/ardesia-wine-bar
Vesuvio Pizzeria & Wine Bar,Not found,https://www.opentable.com/r/vesuvio-new-york
Kashkaval Garden,https://kashkavalgarden.com/,https://www.kashkaval.com/reservations
Bocca di Bacco,Not found,Not found
Sushi Damo,https://www.sushidamo58.com/,https://www.opentable.com/restaurant/profile/34939?ref=1068
The Flame Diner,https://www.theflamediner.com/?utm_source=GMB&utm_medium=Website+Button&utm_id=theflamediner,Not found
El Centro,http://elcentro-nyc.com/,Not found
Rise Bar,http://www.risebarnyc.com/,https://www.opentable.com/restaurant/profile/1240861?ref=1068
D.J. Reynolds,http://djreynoldspub.com/,Not found
Bareburger,Not found,Not found
Cantina,Not found,Not found
Blue Seafood Bar and Eatery,http://www.blueseafoodbar.com/,https://www.opentable.com/restaurant/profile/192910?ref=1068
Masseria dei Vini,http://www.masseriadeivini.com/,https://www.opentable.com/restaurant/profile/151432?ref=1068
All Stars Sports Bar & Grill,https://www.allstarsportsbarandgrill.com/,https://www.allstarsportsbarandgrill.com/reservations-and-contact/
all & sundry,http://www.sundry.nyc/,https://resy.com/cities/ny/all-and-sundry
Marea,https://www.marearestaurant.com/new-york?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,https://www.sevenrooms.com/reservations/marea?utm_source=GoogleBusinessProfile&utm_medium=Reservations&utm_campaign=MapLabs
Blue Ribbon Sushi Bar & Grill - Columbus Circle,https://www.blueribbonsushibarandgrillnyc.com/,https://www.blueribbonsushibarandgrillnyc.com/reservations
Jean-Georges,Not found,Not found
Porter House Bar and Grill,http://porterhousenyc.com/,https://www.opentable.com/restaurant/profile/7053?ref=1068
Dizzy's Club,http://jazz.org/dizzys,https://www.jazz.org/dizzys/
Ascent Lounge,https://ascentloungenyc.com/,https://ascentloungenyc.com/reserve-your-vip-bottle-service-party-package?y_source=1_MzYxNDcwMTItNzE1LWxvY2F0aW9uLnJlc2VydmF0aW9uX3VybA%3D%3D
Above 6,,Not found
Clubhouse,Not found,Not found
Bad Roman,https://www.badromannyc.com/,https://www.opentable.com/restaurant/profile/1268701?ref=1068
Center Bar,Not found,Not found
Tartinery Café - Bar | Columbus Circle,http://www.tartinery.com/,Not found
MO Lounge,https://www.mandarinoriental.com/new-york/fine-dining/restaurants/mo-lounge,https://www.sevenrooms.com/reservations/monycmolounge/google-my-business
Altesi,Not found,Not found
Fasano Caffè,https://fasano.com.br/gastronomia/fasano-caffe,Not found
Mag News Inc,Not found,Not found
Bottega,http://www.bottegany.com/,https://www.opentable.com/restaurant/profile/84532?ref=1068
Il Divo,http://www.ildivo.restaurant/,https://www.opentable.com/restaurant/profile/1033060?ref=1068
Bedford Falls NYC,http://www.bedfordfallsnyc.com/,Not found
JP Fine Foods LLC | Private Chef NYC | Cocktail Catering NYC,https://jpfinefoodsllc.com/,Not found
Campagnola,http://www.campagnola-nyc.com/,https://www.campagnola-nyc.com/
Vanguard Wine Bar (Upper East Side),http://www.vanguard-nyc.com/,Not found
Finnegan's Wake,http://www.finneganswakenyc.com/,Not found
Murphy's Law,Not found,Not found
Oda House UES,https://odahouse.com/?utm_source=gmb_manhattan&utm_medium=organic,https://www.tbdine.com/book/restaurant/oda-house-upper-east-?idApp=70491&language=en-us
Inès,Not found,Not found
Sefton,Not found,https://thesefton.com/reservation/
Fresco's Cantina,Not found,Not found
BluesRoadMusic RadioClub Inc,Not found,Not found
McCaffrey & Burke Bar & Grill,,Not found
Katch Astoria,https://www.katchastoria.com/,Not found
Sport Bar Grill,Not found,https://www.allstarsportsbarandgrill.com/reservations-and-contact/
Fresco’s Grand Cantina,http://www.instagram.com/frescosgrandcantina,https://www.opentable.com/restaurant/profile/1218565?ref=1068
Irish Whiskey Bar,Not found,Not found
Mc’s,Not found,Not found
Olympiacos Fan Club of New York,Not found,Not found
Meat & Salt,Not found,Not found
Deja Vu New York,Not found,Not found
Dominie's,,Not found
Dream Cafe hookah lounge,Not found,Not found
Taj Mahal Lounge,Not found,Not found
Sands of Persia Lounge & Restaurant,https://www.sandsofpersia.com/,https://resy.com/cities/ny/sands-of-persia
Rotana Lounge,,Not found
Jasmin Lounge,,Not found
Sissy McGinty's,https://www.instagram.com/sissymcgintys/,Not found
Studio 59 Lounge,,Not found
Alpha Astoria,https://www.instagram.com/alphaastoria?igsh=MWtxbHFha3oxNmJqeQ%3D%3D&utm_source=qr,Not found
Aloha NYC,http://www.facebook.com/thealohanyc,http://www.facebook.com/thealohanyc
TABOO Astoria,http://oddmenu.com/p/tabooasstoria,Not found
Depósito,Not found,https://www.opentable.com/restaurant/profile/1344496?ref=1068
Murphy's Sports Bar,Not found,Not found
Pier 84 Chip Shop,,Not found
The Landmark Tavern,http://www.thelandmarktavern.com/,Not found
Cantina Rooftop,http://cantinarooftop.com/,https://www.opentable.com/restaurant/profile/115351?ref=1068
