id,name,address,types,coordinates,rating,rating_n, international_phone_number ,populartimes,current_popularity,time_wait,time_spent
ChIJvedTfRpZwokRTOY2bwiHal8,Althea’s Rooftop,"634 W 52nd St, New York, NY 10019, USA","['bar', 'night_club', 'point_of_interest', 'establishment']","{'lat': 40.7677058, 'lng': -73.9957438}",4.4,72,,,,,
ChIJMx5oglBYwokRiHVYNJ_6t9w,Ardesia Wine Bar,"510 W 52nd St, New York, NY 10019, USA","['bar', 'food', 'point_of_interest', 'establishment']","{'lat': 40.76617219999999, 'lng': -73.9918668}",4.6,435, +1 212-247-9191 ,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 36, 42, 46, 41, 33, 20, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 36, 41, 50, 55, 49, 45, 31]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 62, 77, 88, 85, 64, 50, 25]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 38, 61, 74, 87, 76, 62, 41]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 64, 87, 94, 100, 93, 81, 53]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 38, 46, 54, 67, 77, 90, 92, 93, 84, 62]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 50, 51, 62, 70, 74, 71, 58, 46, 33, 0]}]",,,
ChIJ_yQjcFVZwokRq5sackjozHw,Vesuvio Pizzeria & Wine Bar,"824 10th Ave 2nd Floor, New York, NY 10019, USA","['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']","{'lat': 40.7675191, 'lng': -73.9893618}",4.3,15,,,,,
ChIJ0xEQtFlYwokRTi07N6-ojBU,Kashkaval Garden,"852 9th Ave, New York, NY 10019, USA","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","{'lat': 40.7667881, 'lng': -73.9862145}",4.5,1256, +1 212-245-1758 ,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 41, 37, 42, 54, 71, 80, 65, 55, 34, 25, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 58, 60, 58, 54, 65, 80, 80, 65, 41, 22, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 60, 57, 57, 61, 75, 84, 85, 72, 61, 27, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 41, 50, 55, 61, 75, 88, 87, 72, 52, 47, 34]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 52, 55, 50, 52, 77, 92, 98, 90, 70, 50, 28]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 60, 70, 80, 85, 95, 100, 92, 65, 41, 28, 27]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 68, 78, 75, 68, 72, 74, 67, 48, 25, 10, 0]}]",5,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0]}]","[60, 120]"
ChIJd2UWxVlYwokRwL_sWzE0rVg,Bocca di Bacco,"836 9th Ave, New York, NY 10019, USA","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","{'lat': 40.7662484, 'lng': -73.986672}",4.3,1536, +1 212-265-8828 ,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 51, 48, 43, 40, 46, 49, 51, 43, 35, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 51, 48, 45, 45, 54, 60, 64, 57, 41, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 61, 56, 41, 32, 40, 51, 51, 43, 27, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 38, 37, 33, 43, 51, 59, 60, 53, 40, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 45, 45, 45, 48, 56, 64, 75, 72, 67, 48, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 56, 59, 63, 0, 85, 100, 100, 83, 63, 40, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 56, 56, 50, 0, 48, 60, 66, 56, 43, 0, 0]}]",20,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 15, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]","[60, 120]"
ChIJAfRmj1hYwokRxF8_-8B9_dU,Sushi Damo,"330 W 58th St, New York, NY 10019, USA","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","{'lat': 40.7677324, 'lng': -73.9836128}",4.2,602, +1 212-707-8609 ,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 29, 47, 41, 35, 17, 17, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 76, 58, 64, 70, 47, 35, 23, 5, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 70, 52, 35, 47, 58, 58, 58, 64, 41, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 17, 11, 29, 11, 11, 35, 52, 64, 52, 29, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 35, 41, 47, 41, 23, 41, 82, 100, 52, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35, 70, 76, 52, 23, 11, 5, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 35, 29, 41, 41, 70, 0, 0]}]",45,,
ChIJFZlc5FhYwokRbT7uEa40OmY,The Flame Diner,"893 9th Ave, New York, NY 10019, USA","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","{'lat': 40.76858410000001, 'lng': -73.9855086}",4.1,2112, +1 917-746-7510 ,"[{'name': 'Monday', 'data': [33, 26, 19, 17, 8, 12, 22, 38, 48, 55, 59, 62, 58, 54, 47, 44, 43, 44, 50, 48, 48, 45, 42, 38]}, {'name': 'Tuesday', 'data': [25, 16, 7, 6, 10, 14, 22, 33, 46, 56, 66, 68, 69, 65, 54, 50, 53, 62, 70, 65, 54, 44, 38, 33]}, {'name': 'Wednesday', 'data': [23, 12, 6, 6, 8, 8, 15, 32, 47, 56, 60, 64, 58, 56, 48, 48, 46, 52, 56, 56, 61, 64, 64, 58]}, {'name': 'Thursday', 'data': [40, 29, 19, 12, 7, 12, 20, 29, 37, 52, 61, 67, 69, 69, 64, 56, 55, 54, 56, 56, 58, 61, 60, 51]}, {'name': 'Friday', 'data': [33, 18, 10, 10, 22, 20, 20, 28, 42, 55, 64, 70, 79, 76, 72, 62, 60, 59, 65, 64, 66, 66, 68, 62]}, {'name': 'Saturday', 'data': [48, 39, 31, 26, 13, 10, 11, 21, 38, 59, 78, 98, 100, 95, 88, 82, 80, 82, 78, 70, 56, 63, 74, 78]}, {'name': 'Sunday', 'data': [54, 36, 23, 18, 20, 22, 27, 34, 42, 55, 70, 83, 89, 81, 69, 51, 46, 49, 54, 56, 50, 48, 45, 42]}]",74,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0]}]","[30, 60]"
ChIJ03-521lYwokRpZd6eBslyaU,El Centro,"824 9th Ave, New York, NY 10019, USA","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","{'lat': 40.7660092, 'lng': -73.9868346}",4.4,1327, +1 917-409-1171 ,,,,
ChIJqRRpsFlYwokRS2bmqrh0tzc,Rise Bar,"859 9th Ave, New York, NY 10019, USA","['bar', 'point_of_interest', 'establishment']","{'lat': 40.767238, 'lng': -73.9866}",3.9,326, +1 646-892-3313 ,"[{'name': 'Monday', 'data': [33, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 11, 14, 17, 20, 23, 20]}, {'name': 'Tuesday', 'data': [16, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 16, 18, 19, 22, 23, 25]}, {'name': 'Wednesday', 'data': [20, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 16, 20, 23, 27, 28, 27]}, {'name': 'Thursday', 'data': [20, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 15, 20, 24, 30, 33, 34]}, {'name': 'Friday', 'data': [25, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 13, 22, 31, 39, 51, 68, 85]}, {'name': 'Saturday', 'data': [79, 66, 47, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 15, 19, 21, 26, 30, 36, 53, 76, 100]}, {'name': 'Sunday', 'data': [93, 78, 57, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 15, 21, 29, 34, 40, 43, 48, 50, 46]}]",,,
ChIJ03By9lhYwokRfGgIPEcxNlM,D.J. Reynolds,"351 W 57th St, New York, NY 10019, USA","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","{'lat': 40.7678466, 'lng': -73.9849401}",4.3,520, +1 212-245-2912 ,"[{'name': 'Monday', 'data': [37, 25, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 8, 8, 15, 20, 20, 20, 25, 24]}, {'name': 'Tuesday', 'data': [13, 6, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 22, 32, 37, 31, 20, 25, 43, 43]}, {'name': 'Wednesday', 'data': [27, 15, 17, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 20, 36, 51, 46, 31, 32, 31, 25]}, {'name': 'Thursday', 'data': [25, 24, 22, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 41, 67, 74, 65, 60, 62, 58, 46]}, {'name': 'Friday', 'data': [34, 24, 13, 12, 0, 0, 0, 0, 0, 0, 0, 31, 37, 39, 32, 32, 48, 48, 50, 43, 36, 44, 51, 67]}, {'name': 'Saturday', 'data': [51, 46, 44, 34, 0, 0, 0, 0, 0, 0, 0, 27, 20, 27, 24, 20, 37, 50, 58, 50, 46, 62, 86, 100]}, {'name': 'Sunday', 'data': [77, 48, 22, 6, 0, 0, 0, 0, 0, 0, 0, 10, 13, 24, 24, 34, 41, 39, 41, 29, 32, 36, 37, 43]}]",12,,"[60, 120]"
