id,neighborhood,club_vibes,music_genres
ChIJvedTfRpZwokRTOY2bwiHal8,Hell’s Kitchen,Rooftop/Outdoor;Loungey,Top 40/Pop;House/EDM
ChIJMx5oglBYwokRiHVYNJ_6t9w,Hell’s Kitchen,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJ_yQjcFVZwokRq5sackjozHw,Hell’s Kitchen,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJ0xEQtFlYwokRTi07N6-ojBU,Hell’s Kitchen,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJd2UWxVlYwokRwL_sWzE0rVg,Hell’s Kitchen,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJAfRmj1hYwokRxF8_-8B9_dU,Midtown,Loungey;Upscale,Chill/Lo-fi;Jazz/Blues
ChIJFZlc5FhYwokRbT7uEa40OmY,Hell’s Kitchen,Divey;Loungey,Top 40/Pop;Throwbacks/80s-90s
ChIJ03-521lYwokRpZd6eBslyaU,Hell’s Kitchen,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJqRRpsFlYwokRS2bmqrh0tzc,Hell’s Kitchen,Loungey;Dancey,Top 40/Pop;Disco/Funk;Throwbacks/80s-90s
ChIJ03By9lhYwokRfGgIPEcxNlM,Hell’s Kitchen,Divey;Loungey,Rock/Indie;Jazz/Blues
ChIJwX8VfFhYwokRZxRvaHsccow,Midtown,Loungey;Rooftop/Outdoor,Top 40/Pop;Chill/Lo-fi
ChIJA_wZ2llYwokRbiaNGNvU5Vk,Hell’s Kitchen,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJk8hrtFlYwokRCMmgcuEns5I,Hell’s Kitchen,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJeVfr_FhYwokRVM1IjwyvQpE,Hell’s Kitchen,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJQ3U4hpNZwokRddIyyMKpqKo,Midtown,Fratty;Divey,Top 40/Pop;Rock/Indie
ChIJCX6BBfdZwokRBaiiyC82vrU,Midtown,Loungey;Divey,Rock/Indie;Chill/Lo-fi
ChIJvWSDS_ZYwokRiG9D395loxo,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJoxGBgFhYwokRbkjQZYUSTQY,Midtown,Upscale;Loungey,Chill/Lo-fi;Jazz/Blues
ChIJh5JzbfZYwokRR7KqJOksL7Y,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJp3PsL_ZYwokRmC6cZO44FNw,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJp3PsL_ZYwokRUH1k95teGuM,Midtown,Loungey;Upscale,Jazz/Blues;Live Music
ChIJQWE0GfZYwokRWew6C2N5mS8,Midtown,Loungey;Upscale,Top 40/Pop;Chill/Lo-fi
ChIJoxGBgFhYwokRiUoLMG99jZg,Midtown,Loungey;Rooftop/Outdoor,Top 40/Pop;Chill/Lo-fi
ChIJmbazxfdYwokRBmHNbwMmPF4,Midtown,Loungey;Upscale,Top 40/Pop;House/EDM
ChIJG0fkfuJZwokRqmAxXTpYP2I,Midtown,Upscale;Loungey,Top 40/Pop;House/EDM
ChIJh9FV5OJZwokRS35tUsODNCU,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJ7awWrxxZwokRT3Sk_4DN4Jo,Midtown,Loungey;Upscale,Top 40/Pop;Chill/Lo-fi
ChIJwy7f88dZwokRFLVVMy5BBoM,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJUVVNQO5YwokR-MzkMXk4m5Y,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJ0xHPSf5ZwokRQG8becQH0aM,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJWdBb3etYwokRRfxFY-cU43Y,Midtown,Loungey,Jazz/Blues;Chill/Lo-fi
ChIJxR4H4cFYwokRM1RXHp-Cy5s,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJST9CcpdZwokR-oklVC1SFJk,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJ7YHUd-lYwokRIQQ_syP4ccE,Midtown,Divey;Fratty,Top 40/Pop;Throwbacks/80s-90s
ChIJ___PUsBYwokRyrxUuJXkwCg,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJHZRr3cBYwokRAOvPS6LgVVI,Midtown,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJc3WcGrxawokRUXDN04cIlTk,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJoQPA5sBYwokRTYD1-Dhpw6A,Upper East Side,Divey,Rock/Indie;Throwbacks/80s-90s
ChIJSza9YsFYwokRFDc5KJtpiDg,Midtown,Divey,Rock/Indie
ChIJZzj3W8JZwokRi8KiRaRr7SU,Midtown,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJWXH80cBYwokRfEis5qEZT-w,Upper East Side,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJyX1BYZxZwokRgkBgQPvRK2A,Midtown,Loungey;Divey,Rock/Indie;Jazz/Blues
ChIJV6S_YkpfwokR_gAO4h4ro5A,Astoria,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJtRYqrHBfwokRKg2OZScUHjE,Astoria,Live Music;Loungey,Jazz/Blues;Live Music
ChIJ611gdUdfwokRoUj2TO3FB0I,Astoria,Divey,Rock/Indie;Throwbacks/80s-90s
ChIJgZs5bUdfwokRJSOI8QBFFxU,Astoria,Loungey;Rooftop/Outdoor,Top 40/Pop;Rock/Indie;Live Music
ChIJAT8UmkdfwokRSp4fW4FaCEk,Astoria,Divey;Fratty,Top 40/Pop;Rock/Indie
ChIJT_u98g5fwokRuvVezU-XDMg,Astoria,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJ_Td7oEdfwokRYumFaawbPQA,Astoria,Divey;Loungey,Rock/Indie;Throwbacks/80s-90s
ChIJgQ_iJJdfwokRlDbzQu2GeO8,Astoria,Divey,Rock/Indie;Throwbacks/80s-90s
ChIJv_b5d0dfwokRgg5CjD7dX58,Astoria,Divey,Rock/Indie
ChIJBc1Ehk9fwokRxzYRxxCjM1Q,Astoria,Upscale;Loungey,Jazz/Blues;Chill/Lo-fi
ChIJS2UuzkBfwokRgeoJPClbPOk,Astoria,Loungey;Divey,Top 40/Pop;Rock/Indie
ChIJUzyXVUdfwokRYzS5v4AZpYw,Astoria,Divey;Live Music,Rock/Indie;Jazz/Blues
ChIJe54aKUBfwokRLPUQtAIwvmE,Astoria,Loungey;Rooftop/Outdoor,Chill/Lo-fi;Top 40/Pop
ChIJF1RAh2pfwokRE5RCGnx0nts,Astoria,Loungey;Rooftop/Outdoor,Chill/Lo-fi;Jazz/Blues
ChIJnZwgLTxfwokRlV86r6_3Ito,Astoria,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJzzWJJ0BfwokRj0JbFqoCFAk,Astoria,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJpe5qL0BfwokRBmVQr4yg1-A,Astoria,Loungey;Upscale,Chill/Lo-fi;Jazz/Blues
ChIJVVRHIkBfwokRWptxnNv4nGA,Astoria,Divey,Rock/Indie;Throwbacks/80s-90s
ChIJV0pSeiVfwokRFRkNXGQOQnE,Astoria,Loungey;Upscale,Jazz/Blues;Chill/Lo-fi
ChIJCdBkPGpfwokRD2Njh95sZTE,Astoria,Loungey;Rooftop/Outdoor,Top 40/Pop;Latin/Reggaeton
ChIJ7wEP5EFfwokRDMSNngJYpUk,Astoria,Loungey;Rooftop/Outdoor,Top 40/Pop;Latin/Reggaeton
ChIJTziFGUBfwokRQfgokclDIQg,Astoria,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJZ3gaCQBfwokRVmxuDkIFJRA,Astoria,Divey;Live Music,Rock/Indie;Jazz/Blues
ChIJ-7Y_5PdfwokRsdFnAUvtjsw,Astoria,Divey;Fratty,Rock/Indie;Top 40/Pop
ChIJ9SnnYWVZwokRbgYcQCjh0_g,Hell’s Kitchen,Divey;Rooftop/Outdoor,Rock/Indie;Throwbacks/80s-90s
ChIJhwECQE5YwokRGWW9EDDrAfQ,Hell’s Kitchen,Divey;Loungey,Rock/Indie;Jazz/Blues
ChIJpfzLx09YwokRGSjUvvLy_Cw,Hell’s Kitchen,Rooftop/Outdoor;Upscale,Latin/Reggaeton;Top 40/Pop
ChIJkyTPldhZwokRAh6UNaz9RI4,Hell’s Kitchen,Rooftop/Outdoor;Loungey,Top 40/Pop;House/EDM
ChIJVfJ8dHNZwokRmhfbEfyX5Mo,Hell’s Kitchen,Loungey;Rooftop/Outdoor,Latin/Reggaeton;Top 40/Pop
ChIJaRE_uFFYwokRSgI8YRDfnDk,Hell’s Kitchen,Loungey;Dancey,Top 40/Pop;Hip-Hop/Rap
ChIJN9f99VBYwokRnOoeo6lLZCI,Hell’s Kitchen,Divey;Loungey,Rock/Indie;Chill/Lo-fi
ChIJKa9481BYwokRgYY2RmM3kbo,Hell’s Kitchen,Divey;Live Music,Rock/Indie;Country;Throwbacks/80s-90s
ChIJ5cyRrlFYwokRFTRhsMQzm-E,Hell’s Kitchen,Loungey;Divey,Latin/Reggaeton;Top 40/Pop
ChIJL_bKrFFYwokRDSBEY04JJUY,Hell’s Kitchen,Divey,Rock/Indie;Throwbacks/80s-90s
