name,latitude,longitude,Unnamed: 3,geometry
Althea’s Rooftop,40.7677058,-73.9957438,,"{'location': {'lat': 40.7677058, 'lng': -73.9957438}, 'viewport': {'northeast': {'lat': 40.7691289302915, 'lng': -73.99444386970849}, 'southwest': {'lat': 40.7664309697085, 'lng': -73.99714183029151}}}"
Ardesia Wine Bar,40.76617219999999,-73.9918668,,"{'location': {'lat': 40.76617219999999, 'lng': -73.9918668}, 'viewport': {'northeast': {'lat': 40.7675839802915, 'lng': -73.9904416697085}, 'southwest': {'lat': 40.7648860197085, 'lng': -73.99313963029151}}}"
Vesuvio Pizzeria & Wine Bar,40.7675191,-73.9893618,,"{'location': {'lat': 40.7675191, 'lng': -73.9893618}, 'viewport': {'northeast': {'lat': 40.76891508029149, 'lng': -73.98815931970849}, 'southwest': {'lat': 40.76621711970849, 'lng': -73.99085728029151}}}"
Kashkaval Garden,40.7667881,-73.9862145,,"{'location': {'lat': 40.7667881, 'lng': -73.9862145}, 'viewport': {'northeast': {'lat': 40.76819338029149, 'lng': -73.9849827697085}, 'southwest': {'lat': 40.76549541970849, 'lng': -73.9876807302915}}}"
Bocca di Bacco,40.7662484,-73.986672,,"{'location': {'lat': 40.7662484, 'lng': -73.986672}, 'viewport': {'northeast': {'lat': 40.7675755302915, 'lng': -73.98545801970849}, 'southwest': {'lat': 40.7648775697085, 'lng': -73.98815598029151}}}"
Sushi Damo,40.7677324,-73.9836128,,"{'location': {'lat': 40.7677324, 'lng': -73.9836128}, 'viewport': {'northeast': {'lat': 40.7691761802915, 'lng': -73.98226566970848}, 'southwest': {'lat': 40.7664782197085, 'lng': -73.9849636302915}}}"
The Flame Diner,40.76858410000001,-73.9855086,,"{'location': {'lat': 40.76858410000001, 'lng': -73.9855086}, 'viewport': {'northeast': {'lat': 40.7698902802915, 'lng': -73.9840570697085}, 'southwest': {'lat': 40.76719231970851, 'lng': -73.9867550302915}}}"
El Centro,40.7660092,-73.9868346,,"{'location': {'lat': 40.7660092, 'lng': -73.9868346}, 'viewport': {'northeast': {'lat': 40.7673428302915, 'lng': -73.98558296970849}, 'southwest': {'lat': 40.7646448697085, 'lng': -73.98828093029151}}}"
Rise Bar,40.767238,-73.9866,,"{'location': {'lat': 40.767238, 'lng': -73.9866}, 'viewport': {'northeast': {'lat': 40.7685232302915, 'lng': -73.98509921970849}, 'southwest': {'lat': 40.7658252697085, 'lng': -73.98779718029151}}}"
D.J. Reynolds,40.7678466,-73.9849401,,"{'location': {'lat': 40.7678466, 'lng': -73.9849401}, 'viewport': {'northeast': {'lat': 40.7690765302915, 'lng': -73.98358521970849}, 'southwest': {'lat': 40.76637856970851, 'lng': -73.9862831802915}}}"
Bareburger,40.76729589999999,-73.9834391,,"{'location': {'lat': 40.76729589999999, 'lng': -73.9834391}, 'viewport': {'northeast': {'lat': 40.7685175302915, 'lng': -73.98217446970848}, 'southwest': {'lat': 40.7658195697085, 'lng': -73.9848724302915}}}"
Cantina,40.76593949999999,-73.98671689999999,,"{'location': {'lat': 40.76593949999999, 'lng': -73.98671689999999}, 'viewport': {'northeast': {'lat': 40.7672390802915, 'lng': -73.98539481970849}, 'southwest': {'lat': 40.7645411197085, 'lng': -73.9880927802915}}}"
Blue Seafood Bar and Eatery,40.76690840000001,-73.9861986,,"{'location': {'lat': 40.76690840000001, 'lng': -73.9861986}, 'viewport': {'northeast': {'lat': 40.7682604802915, 'lng': -73.98496151970849}, 'southwest': {'lat': 40.7655625197085, 'lng': -73.9876594802915}}}"
Masseria dei Vini,40.7684477,-73.9857048,,"{'location': {'lat': 40.7684477, 'lng': -73.9857048}, 'viewport': {'northeast': {'lat': 40.76975708029151, 'lng': -73.98420196970851}, 'southwest': {'lat': 40.76705911970851, 'lng': -73.98689993029151}}}"
All Stars Sports Bar & Grill,40.76745560000001,-73.98414509999999,,"{'location': {'lat': 40.76745560000001, 'lng': -73.98414509999999}, 'viewport': {'northeast': {'lat': 40.7687124302915, 'lng': -73.98275436970849}, 'southwest': {'lat': 40.76601446970851, 'lng': -73.98545233029151}}}"
